x,y
-2.509197623052750181e-01,3.882944924592987568e-01
9.014286128198323311e-01,7.958576050350256725e-01
4.639878836228101822e-01,5.741298513796252445e-01
1.973169683940732000e-01,4.791966330879217084e-01
-6.879627191151269638e-01,3.825707108093898134e-01
-6.880109593275947066e-01,3.825745973201319927e-01
-8.838327756636010779e-01,4.065701999300623815e-01
7.323522915498703600e-01,7.004340365331893636e-01
2.022300234864176094e-01,4.806700726898002762e-01
4.161451555920909762e-01,5.548547027388979203e-01
-9.588310114083951063e-01,4.201126922207252257e-01
9.398197043239886472e-01,8.192315959199182318e-01
6.648852816008434807e-01,6.657766541336307409e-01
-5.753217786434476899e-01,3.762157222152884284e-01
-6.363500655857987631e-01,3.789838586539825416e-01
-6.331909802931323661e-01,3.788013936924526925e-01
-3.915155140809245538e-01,3.775219036468127620e-01
4.951286326447568165e-02,4.397066543342406653e-01
-1.361099627157684733e-01,4.033748484074399232e-01
-4.175417196039161727e-01,3.764570074298312918e-01
2.237057894447589401e-01,4.872321577876848053e-01
-7.210122786959163310e-01,3.854670915716489343e-01
-4.157107029295636913e-01,3.765224326287061052e-01
-2.672763134126165951e-01,3.866057816354620535e-01
-8.786003156592814278e-02,4.113984329101795789e-01
5.703519227860271990e-01,6.204971225596598305e-01
-6.006524356832805278e-01,3.771709098876379618e-01
2.846887682722321067e-02,4.348455758089344036e-01
1.848291377240849354e-01,4.754980602591244998e-01
-9.070991745600045508e-01,4.105135152701651635e-01
2.150897038028767305e-01,4.845757038181899290e-01
-6.589517526254169422e-01,3.804140699277197002e-01
-8.698968140294409679e-01,4.043193542205281155e-01
8.977710745066664888e-01,7.936637092987545161e-01
9.312640661491187188e-01,8.139678915106520751e-01
6.167946962329222682e-01,6.422636557572827254e-01
-3.907724616532586293e-01,3.775565689571334094e-01
-8.046557719872322600e-01,3.948889584439578271e-01
3.684660530243137888e-01,5.366214182690636214e-01
-1.196950125207973947e-01,4.059925464646192972e-01
-7.559235303104423487e-01,3.890350400071200254e-01
-9.646179777459629179e-03,4.265243290728942260e-01
-9.312229577695632088e-01,4.148471227087565660e-01
8.186408041575641281e-01,7.476029079405659417e-01
-4.824400367999661654e-01,3.750660754944828978e-01
3.250445687079639434e-01,5.208639729331093760e-01
-3.765778478211780911e-01,3.782642202103826956e-01
4.013604235562162614e-02,4.375172023396273757e-01
9.342055868655929629e-02,4.504602770296861070e-01
-6.302910889489459212e-01,3.786376645413219166e-01
9.391692555291171196e-01,8.188303170129072051e-01
5.502656467222291070e-01,6.113695561467562545e-01
8.789978831283782323e-01,7.824932489298318528e-01
7.896547008552976532e-01,7.314019815938931357e-01
1.957999576221702842e-01,4.787437673629315604e-01
8.437484700462336562e-01,7.619271323039130683e-01
-8.230149958961610057e-01,3.973582901943850665e-01
-6.080342751617096031e-01,3.775010152735105984e-01
-9.095454221789238680e-01,4.109415970345099423e-01
-3.493393384734713170e-01,3.798639931996309893e-01
-2.226454206210359832e-01,3.914840491505319209e-01
-4.573019364522081798e-01,3.753906695637281854e-01
6.574750183038586826e-01,6.620889467137539564e-01
-2.864933466128214423e-01,3.847682337944127728e-01
-4.381309806252384753e-01,3.758202376196560501e-01
8.539216631649693134e-02,4.484322832252974900e-01
-7.181515500504747074e-01,3.851978783120196259e-01
6.043939615080793359e-01,6.363612904747519838e-01
-8.508987126404583545e-01,4.013849799712995159e-01
9.737738732010345899e-01,8.404305919992813845e-01
5.444895385933148368e-01,6.087767991923306310e-01
-6.025686369316551882e-01,3.772543554175752378e-01
-9.889557657527952017e-01,4.262309444706219863e-01
6.309228569096683170e-01,6.490685374887271708e-01
4.137146876952342289e-01,5.539016851092857241e-01
4.580143360819746157e-01,5.716696003154115857e-01
5.425406933718914804e-01,6.079052351435023649e-01
-8.519106965318192781e-01,4.015373867857521817e-01
-2.830685429114547791e-01,3.850841265159770654e-01
-7.682618809497405721e-01,3.904209507365770659e-01
7.262068517511870436e-01,6.971964092746196773e-01
2.465962536551158379e-01,4.944441355653974024e-01
-3.382039502947016274e-01,3.806095632214799296e-01
-8.728832994279527302e-01,4.047947046412020966e-01
-3.780353565686755957e-01,3.781875801958564653e-01
-3.496333559465059082e-01,3.798450273522664955e-01
4.592123566761281417e-01,5.721617882571797820e-01
2.751149427104262468e-01,5.037435373742117362e-01
7.744254851526530814e-01,7.230343536871233212e-01
-5.557014967610141021e-02,4.173252625411978389e-01
-7.608115081233965959e-01,3.895762805934859241e-01
4.264895744459900051e-01,5.589391996193810996e-01
5.215700972337948826e-01,5.986297421919141160e-01
1.225543951389924668e-01,4.580515660514737353e-01
5.419343599091219765e-01,6.076344022198354455e-01
-1.240880727121851379e-02,4.259453938342877555e-01
4.546565876398811490e-02,4.387570253337497173e-01
-1.449179632829007414e-01,4.020178398855350221e-01
-9.491617465118096231e-01,4.182313445420441367e-01
